Accession (version),Accession,Old Family,Family
NC_007668.1,NC_007668,Spinareoviridae,Reoviridae
NC_007669.1,NC_007669,Spinareoviridae,Reoviridae
NC_007670.1,NC_007670,Spinareoviridae,Reoviridae
NC_007671.1,NC_007671,Spinareoviridae,Reoviridae
NC_007672.1,NC_007672,Spinareoviridae,Reoviridae
NC_007673.1,NC_007673,Spinareoviridae,Reoviridae
NC_007674.1,NC_007674,Spinareoviridae,Reoviridae
NC_019538.1,NC_019538,Straboviridae,Myoviridae
NC_025459.1,NC_025459,Chaseviridae,Myoviridae
NC_014636.1,NC_014636,Straboviridae,Myoviridae
NC_019528.1,NC_019528,Autographiviridae,Podoviridae
NC_023688.1,NC_023688,Straboviridae,Myoviridae
NC_019527.1,NC_019527,Unclassified,Myoviridae
NC_008208.1,NC_008208,Straboviridae,Myoviridae
NC_007022.1,NC_007022,Straboviridae,Myoviridae
NC_005135.1,NC_005135,Straboviridae,Myoviridae
NC_015251.1,NC_015251,Straboviridae,Myoviridae
NC_005260.1,NC_005260,Straboviridae,Myoviridae
NC_020879.1,NC_020879,Straboviridae,Myoviridae
NC_019543.1,NC_019543,Straboviridae,Myoviridae
NC_014635.1,NC_014635,Straboviridae,Myoviridae
NC_009542.2,NC_009542,Peduoviridae,Myoviridae
NC_026470.1,NC_026470,Picornaviridae,Picornaviridae
NC_001467.1,NC_001467,Geminiviridae,Geminiviridae
NC_001468.1,NC_001468,Geminiviridae,Geminiviridae
NC_034207.1,NC_034207,Solemoviridae,Luteoviridae
NC_004763.2,NC_004763,Polyomaviridae,Polyomaviridae
NC_010820.1,NC_010820,Retroviridae,Retroviridae
NC_005996.1,NC_005996,Sedoreoviridae,Reoviridae
NC_006009.1,NC_006009,Sedoreoviridae,Reoviridae
NC_006011.1,NC_006011,Sedoreoviridae,Reoviridae
NC_006012.1,NC_006012,Sedoreoviridae,Reoviridae
NC_006016.1,NC_006016,Sedoreoviridae,Reoviridae
NC_006017.1,NC_006017,Sedoreoviridae,Reoviridae
NC_006018.1,NC_006018,Sedoreoviridae,Reoviridae
NC_006019.1,NC_006019,Sedoreoviridae,Reoviridae
NC_006020.1,NC_006020,Sedoreoviridae,Reoviridae
NC_006021.1,NC_006021,Sedoreoviridae,Reoviridae
NC_012519.1,NC_012519,Betaflexiviridae,Betaflexiviridae
NC_034833.1,NC_034833,Betaflexiviridae,Betaflexiviridae
NC_003434.1,NC_003434,Geminiviridae,Geminiviridae
NC_022127.1,NC_022127,Bromoviridae,Bromoviridae
NC_022128.1,NC_022128,Bromoviridae,Bromoviridae
NC_022129.1,NC_022129,Bromoviridae,Bromoviridae
NC_014645.1,NC_014645,Geminiviridae,Geminiviridae
NC_006384.1,NC_006384,Geminiviridae,Geminiviridae
NC_021202.1,NC_021202,Geminiviridae,Geminiviridae
NC_004090.1,NC_004090,Geminiviridae,Geminiviridae
NC_010812.1,NC_010812,Geminiviridae,Geminiviridae
NC_002981.1,NC_002981,Geminiviridae,Geminiviridae
NC_004627.1,NC_004627,Geminiviridae,Geminiviridae
NC_004626.1,NC_004626,Geminiviridae,Geminiviridae
NC_027040.1,NC_027040,Geminiviridae,Geminiviridae
NC_013597.1,NC_013597,Unclassified,Myoviridae
NC_019519.1,NC_019519,Unclassified,Myoviridae
NC_005903.1,NC_005903,Potyviridae,Potyviridae
NC_011345.1,NC_011345,Baculoviridae,Baculoviridae
NC_007921.1,NC_007921,Baculoviridae,Baculoviridae
NC_025960.1,NC_025960,Baculoviridae,Baculoviridae
NC_015450.1,NC_015450,Phenuiviridae,Phenuiviridae
NC_015451.1,NC_015451,Phenuiviridae,Phenuiviridae
NC_015452.1,NC_015452,Phenuiviridae,Phenuiviridae
NC_001918.1,NC_001918,Picornaviridae,Picornaviridae
NC_027054.1,NC_027054,Picornaviridae,Picornaviridae
NC_011829.1,NC_011829,Picornaviridae,Picornaviridae
NC_016769.1,NC_016769,Picornaviridae,Picornaviridae
NC_027919.1,NC_027919,Picornaviridae,Picornaviridae
NC_035201.1,NC_035201,Papillomaviridae,Papillomaviridae
NC_035199.1,NC_035199,Papillomaviridae,Papillomaviridae
NC_035193.1,NC_035193,Papillomaviridae,Papillomaviridae
NC_035198.1,NC_035198,Picornaviridae,Picornaviridae
NC_027781.1,NC_027781,Circoviridae,Circoviridae
NC_009894.1,NC_009894,Peribunyaviridae,Peribunyaviridae
NC_009895.1,NC_009895,Peribunyaviridae,Peribunyaviridae
NC_009896.1,NC_009896,Peribunyaviridae,Peribunyaviridae
NC_025353.1,NC_025353,Rhabdoviridae,Rhabdoviridae
NC_002531.1,NC_002531,Orthoherpesviridae,Herpesviridae
NC_024382.1,NC_024382,Orthoherpesviridae,Herpesviridae
NC_018482.1,NC_018482,Arenaviridae,Arenaviridae
NC_018483.1,NC_018483,Arenaviridae,Arenaviridae
NC_023761.1,NC_023761,Arenaviridae,Arenaviridae
NC_023762.1,NC_023762,Arenaviridae,Arenaviridae
NC_023765.1,NC_023765,Arenaviridae,Arenaviridae
NC_023766.1,NC_023766,Arenaviridae,Arenaviridae
NC_018481.1,NC_018481,Arenaviridae,Arenaviridae
NC_018484.1,NC_018484,Arenaviridae,Arenaviridae
NC_028237.2,NC_028237,Rhabdoviridae,Rhabdoviridae
NC_029993.1,NC_029993,Solemoviridae,Luteoviridae
NC_027714.1,NC_027714,Geminiviridae,Geminiviridae
NC_001495.1,NC_001495,Bromoviridae,Bromoviridae
NC_002024.2,NC_002024,Bromoviridae,Bromoviridae
NC_002025.1,NC_002025,Bromoviridae,Bromoviridae
NC_010736.1,NC_010736,Potyviridae,Potyviridae
NC_010947.1,NC_010947,Geminiviridae,Geminiviridae
NC_024009.1,NC_024009,Geminiviridae,Geminiviridae
NC_036580.1,NC_036580,Amalgaviridae,Amalgaviridae
NC_036581.1,NC_036581,Amalgaviridae,Amalgaviridae
NC_012211.2,NC_012211,Alphaflexiviridae,Alphaflexiviridae
NC_010249.1,NC_010249,Arenaviridae,Arenaviridae
NC_010253.1,NC_010253,Arenaviridae,Arenaviridae
NC_025391.1,NC_025391,Rhabdoviridae,Rhabdoviridae
NC_025399.1,NC_025399,Rhabdoviridae,Rhabdoviridae
NC_034251.1,NC_034251,Polyomaviridae,Polyomaviridae
NC_002306.3,NC_002306,Coronaviridae,Coronaviridae
NC_028806.1,NC_028806,Coronaviridae,Coronaviridae
NC_015668.1,NC_015668,Mesoniviridae,Mesoniviridae
NC_015874.1,NC_015874,Mesoniviridae,Mesoniviridae
NC_023986.1,NC_023986,Mesoniviridae,Mesoniviridae
NC_020899.1,NC_020899,Mesoniviridae,Mesoniviridae
NC_001586.1,NC_001586,Papillomaviridae,Papillomaviridae
NC_001355.1,NC_001355,Papillomaviridae,Papillomaviridae
NC_001587.1,NC_001587,Papillomaviridae,Papillomaviridae
NC_001678.1,NC_001678,Papillomaviridae,Papillomaviridae
NC_001676.1,NC_001676,Papillomaviridae,Papillomaviridae
NC_004104.1,NC_004104,Papillomaviridae,Papillomaviridae
NC_001576.1,NC_001576,Papillomaviridae,Papillomaviridae
NC_001694.1,NC_001694,Papillomaviridae,Papillomaviridae
NC_001352.1,NC_001352,Papillomaviridae,Papillomaviridae
NC_001583.1,NC_001583,Papillomaviridae,Papillomaviridae
NC_001593.1,NC_001593,Papillomaviridae,Papillomaviridae
NC_001357.1,NC_001357,Papillomaviridae,Papillomaviridae
NC_001595.1,NC_001595,Papillomaviridae,Papillomaviridae
NC_001526.4,NC_001526,Papillomaviridae,Papillomaviridae
NC_006938.1,NC_006938,Mesyanzhinovviridae,Siphoviridae
NC_007408.1,NC_007408,Alphaflexiviridae,Alphaflexiviridae
NC_007731.1,NC_007731,Alphaflexiviridae,Alphaflexiviridae
NC_007211.1,NC_007211,Geminiviridae,Geminiviridae
NC_030747.1,NC_030747,Mitoviridae,Narnaviridae
NC_026136.1,NC_026136,Endornaviridae,Endornaviridae
NC_021532.1,NC_021532,Schitoviridae,Podoviridae
NC_010247.1,NC_010247,Arenaviridae,Arenaviridae
NC_010251.1,NC_010251,Arenaviridae,Arenaviridae
NC_009944.1,NC_009944,Chrysoviridae,Chrysoviridae
NC_009945.1,NC_009945,Chrysoviridae,Chrysoviridae
NC_009946.1,NC_009946,Chrysoviridae,Chrysoviridae
NC_009947.1,NC_009947,Chrysoviridae,Chrysoviridae
NC_018402.1,NC_018402,Bromoviridae,Bromoviridae
NC_018403.1,NC_018403,Bromoviridae,Bromoviridae
NC_018404.1,NC_018404,Bromoviridae,Bromoviridae
NC_033835.1,NC_033835,Phenuiviridae,Phenuiviridae
NC_033844.1,NC_033844,Phenuiviridae,Phenuiviridae
NC_033845.1,NC_033845,Phenuiviridae,Phenuiviridae
NC_005832.1,NC_005832,Iridoviridae,Iridoviridae
NC_031751.1,NC_031751,Parvoviridae,Parvoviridae
NC_022755.1,NC_022755,Rhabdoviridae,Rhabdoviridae
NC_017859.1,NC_017859,Betaflexiviridae,Betaflexiviridae
NC_003451.1,NC_003451,Bromoviridae,Bromoviridae
NC_003452.1,NC_003452,Bromoviridae,Bromoviridae
NC_003453.1,NC_003453,Bromoviridae,Bromoviridae
NC_027214.1,NC_027214,Picornaviridae,Picornaviridae
NC_002520.1,NC_002520,Poxviridae,Poxviridae
NC_024358.1,NC_024358,Unclassified,Podoviridae
NC_011559.1,NC_011559,Tymoviridae,Tymoviridae
NC_013036.1,NC_013036,Orthoherpesviridae,Herpesviridae
NC_020470.1,NC_020470,Tymoviridae,Tymoviridae
NC_020471.1,NC_020471,Tymoviridae,Tymoviridae
NC_003466.1,NC_003466,Hantaviridae,Hantaviridae
NC_003467.2,NC_003467,Hantaviridae,Hantaviridae
NC_003468.2,NC_003468,Hantaviridae,Hantaviridae
NC_028262.1,NC_028262,Geminiviridae,Geminiviridae
NC_007733.2,NC_007733,Tombusviridae,Tombusviridae
NC_023421.1,NC_023421,Circoviridae,Circoviridae
NC_013668.3,NC_013668,Alloherpesviridae,Alloherpesviridae
NC_022581.1,NC_022581,Rhabdoviridae,Rhabdoviridae
NC_033836.1,NC_033836,Phenuiviridae,Phenuiviridae
NC_033837.1,NC_033837,Phenuiviridae,Phenuiviridae
NC_033846.1,NC_033846,Phenuiviridae,Phenuiviridae
NC_023426.1,NC_023426,Poxviridae,Poxviridae
NC_030115.1,NC_030115,Dicistroviridae,Dicistroviridae
NC_031327.1,NC_031327,Flaviviridae,Flaviviridae
NC_023848.1,NC_023848,Iridoviridae,Iridoviridae
NC_004800.1,NC_004800,Polyomaviridae,Polyomaviridae
NC_001701.1,NC_001701,Parvoviridae,Parvoviridae
NC_006147.2,NC_006147,Parvoviridae,Parvoviridae
NC_023483.1,NC_023483,Iflaviridae,Iflaviridae
NC_008035.3,NC_008035,Baculoviridae,Baculoviridae
NC_031761.1,NC_031761,Baculoviridae,Baculoviridae
NC_008520.2,NC_008520,Baculoviridae,Baculoviridae
NC_035189.1,NC_035189,Amalgaviridae,Amalgaviridae
NC_016447.1,NC_016447,Orthoherpesviridae,Herpesviridae
NC_004365.1,NC_004365,Dicistroviridae,Dicistroviridae
NC_034973.1,NC_034973,Dicistroviridae,Dicistroviridae
NC_035115.1,NC_035115,Dicistroviridae,Dicistroviridae
NC_035071.1,NC_035071,Flaviviridae,Flaviviridae
NC_014905.1,NC_014905,Potyviridae,Potyviridae
NC_018504.1,NC_018504,Baculoviridae,Baculoviridae
NC_024893.1,NC_024893,Papillomaviridae,Papillomaviridae
NC_001409.1,NC_001409,Betaflexiviridae,Betaflexiviridae
NC_026760.1,NC_026760,Geminiviridae,Geminiviridae
NC_018714.1,NC_018714,Betaflexiviridae,Betaflexiviridae
NC_003787.1,NC_003787,Secoviridae,Secoviridae
NC_003788.1,NC_003788,Secoviridae,Secoviridae
NC_003464.1,NC_003464,Bromoviridae,Bromoviridae
NC_003465.1,NC_003465,Bromoviridae,Bromoviridae
NC_003480.1,NC_003480,Bromoviridae,Bromoviridae
NC_001749.2,NC_001749,Betaflexiviridae,Betaflexiviridae
NC_003462.2,NC_003462,Betaflexiviridae,Betaflexiviridae
NC_014821.1,NC_014821,Betaflexiviridae,Betaflexiviridae
NC_006946.1,NC_006946,Betaflexiviridae,Betaflexiviridae
NC_023295.1,NC_023295,Betaflexiviridae,Betaflexiviridae
NC_009891.1,NC_009891,Picornaviridae,Picornaviridae
NC_007582.1,NC_007582,Spinareoviridae,Reoviridae
NC_007583.1,NC_007583,Spinareoviridae,Reoviridae
NC_007584.1,NC_007584,Spinareoviridae,Reoviridae
NC_007585.1,NC_007585,Spinareoviridae,Reoviridae
NC_007586.1,NC_007586,Spinareoviridae,Reoviridae
NC_007587.1,NC_007587,Spinareoviridae,Reoviridae
NC_007588.1,NC_007588,Spinareoviridae,Reoviridae
NC_007589.1,NC_007589,Spinareoviridae,Reoviridae
NC_007590.1,NC_007590,Spinareoviridae,Reoviridae
NC_007591.1,NC_007591,Spinareoviridae,Reoviridae
NC_007592.1,NC_007592,Spinareoviridae,Reoviridae
NC_005166.1,NC_005166,Spinareoviridae,Reoviridae
NC_005167.1,NC_005167,Spinareoviridae,Reoviridae
NC_005168.1,NC_005168,Spinareoviridae,Reoviridae
NC_005169.1,NC_005169,Spinareoviridae,Reoviridae
NC_005170.1,NC_005170,Spinareoviridae,Reoviridae
NC_005171.1,NC_005171,Spinareoviridae,Reoviridae
NC_005172.1,NC_005172,Spinareoviridae,Reoviridae
NC_005173.1,NC_005173,Spinareoviridae,Reoviridae
NC_005174.1,NC_005174,Spinareoviridae,Reoviridae
NC_005175.1,NC_005175,Spinareoviridae,Reoviridae
NC_005176.1,NC_005176,Spinareoviridae,Reoviridae
NC_010584.1,NC_010584,Spinareoviridae,Reoviridae
NC_010585.1,NC_010585,Spinareoviridae,Reoviridae
NC_010586.1,NC_010586,Spinareoviridae,Reoviridae
NC_010587.1,NC_010587,Spinareoviridae,Reoviridae
NC_010588.1,NC_010588,Spinareoviridae,Reoviridae
NC_010589.1,NC_010589,Spinareoviridae,Reoviridae
NC_010590.1,NC_010590,Spinareoviridae,Reoviridae
NC_010591.1,NC_010591,Spinareoviridae,Reoviridae
NC_010592.1,NC_010592,Spinareoviridae,Reoviridae
NC_010593.1,NC_010593,Spinareoviridae,Reoviridae
NC_010594.1,NC_010594,Spinareoviridae,Reoviridae
NC_030889.1,NC_030889,Partitiviridae,Partitiviridae
NC_030890.1,NC_030890,Partitiviridae,Partitiviridae
NC_006056.1,NC_006056,Secoviridae,Secoviridae
NC_006057.1,NC_006057,Secoviridae,Secoviridae
NC_032104.1,NC_032104,Alphaflexiviridae,Alphaflexiviridae
NC_020808.1,NC_020808,Rhabdoviridae,Rhabdoviridae
NC_025393.1,NC_025393,Rhabdoviridae,Rhabdoviridae
NC_008695.1,NC_008695,Graaviviridae,Siphoviridae
NC_027121.1,NC_027121,Closteroviridae,Closteroviridae
NC_036585.1,NC_036585,Iflaviridae,Iflaviridae
NC_014609.1,NC_014609,Totiviridae,Totiviridae
NC_029082.1,NC_029082,Phenuiviridae,Phenuiviridae
NC_018176.1,NC_018176,Potyviridae,Potyviridae
NC_020897.1,NC_020897,Secoviridae,Secoviridae
NC_020898.1,NC_020898,Secoviridae,Secoviridae
NC_034264.1,NC_034264,Betaflexiviridae,Betaflexiviridae
NC_027796.1,NC_027796,Circoviridae,Circoviridae
NC_031252.1,NC_031252,Unclassified,Myoviridae
NC_022972.2,NC_022972,Unclassified,Siphoviridae
NC_026606.1,NC_026606,Unclassified,Myoviridae
NC_028692.1,NC_028692,Unclassified,Siphoviridae
NC_031231.1,NC_031231,Unclassified,Siphoviridae
NC_031254.1,NC_031254,Unclassified,Siphoviridae
NC_031224.2,NC_031224,Unclassified,Siphoviridae
NC_016752.1,NC_016752,Parvoviridae,Parvoviridae
NC_026759.1,NC_026759,Potyviridae,Potyviridae
NC_001339.1,NC_001339,Tombusviridae,Tombusviridae
NC_023633.1,NC_023633,Phenuiviridae,Phenuiviridae
NC_023634.1,NC_023634,Phenuiviridae,Phenuiviridae
NC_023635.1,NC_023635,Phenuiviridae,Phenuiviridae
NC_015523.1,NC_015523,Tymoviridae,Tymoviridae
NC_025388.1,NC_025388,Betaflexiviridae,Betaflexiviridae
NC_028868.1,NC_028868,Betaflexiviridae,Betaflexiviridae
NC_028975.1,NC_028975,Betaflexiviridae,Betaflexiviridae
NC_025821.1,NC_025821,Potyviridae,Potyviridae
NC_011807.1,NC_011807,Bromoviridae,Bromoviridae
NC_011808.1,NC_011808,Bromoviridae,Bromoviridae
NC_011809.1,NC_011809,Bromoviridae,Bromoviridae
NC_003400.1,NC_003400,Alphaflexiviridae,Alphaflexiviridae
NC_010416.1,NC_010416,Alphaflexiviridae,Alphaflexiviridae
NC_027426.1,NC_027426,Astroviridae,Astroviridae
NC_016155.1,NC_016155,Astroviridae,Astroviridae
NC_019028.1,NC_019028,Astroviridae,Astroviridae
NC_019026.1,NC_019026,Astroviridae,Astroviridae
NC_019027.1,NC_019027,Astroviridae,Astroviridae
NC_016896.1,NC_016896,Astroviridae,Astroviridae
NC_026513.1,NC_026513,Geminiviridae,Geminiviridae
NC_026514.1,NC_026514,Geminiviridae,Geminiviridae
NC_019853.1,NC_019853,Polyomaviridae,Polyomaviridae
NC_034446.1,NC_034446,Orthoherpesviridae,Herpesviridae
NC_001987.1,NC_001987,Orthoherpesviridae,Herpesviridae
NC_003470.1,NC_003470,Partitiviridae,Partitiviridae
NC_003471.1,NC_003471,Partitiviridae,Partitiviridae
NC_024031.1,NC_024031,Caliciviridae,Caliciviridae
NC_007654.1,NC_007654,Retroviridae,Retroviridae
NC_027924.1,NC_027924,Caulimoviridae,Caulimoviridae
NC_030653.1,NC_030653,Flaviviridae,Flaviviridae
NC_003900.1,NC_003900,Togaviridae,Togaviridae
NC_024697.1,NC_024697,Schizomimiviridae,Phycodnaviridae
NC_035674.1,NC_035674,Totiviridae,Totiviridae
NC_003243.1,NC_003243,Rhabdoviridae,Rhabdoviridae
NC_001623.1,NC_001623,Baculoviridae,Baculoviridae
NC_005790.1,NC_005790,Astroviridae,Astroviridae
NC_004764.2,NC_004764,Polyomaviridae,Polyomaviridae
NC_025349.3,NC_025349,Paramyxoviridae,Paramyxoviridae
NC_025407.1,NC_025407,Paramyxoviridae,Paramyxoviridae
NC_025363.1,NC_025363,Paramyxoviridae,Paramyxoviridae
NC_030231.1,NC_030231,Paramyxoviridae,Paramyxoviridae
NC_025373.1,NC_025373,Paramyxoviridae,Paramyxoviridae
NC_019531.1,NC_019531,Paramyxoviridae,Paramyxoviridae
NC_025361.1,NC_025361,Paramyxoviridae,Paramyxoviridae
NC_025347.1,NC_025347,Paramyxoviridae,Paramyxoviridae
NC_025390.1,NC_025390,Paramyxoviridae,Paramyxoviridae
NC_024296.1,NC_024296,Bornaviridae,Bornaviridae
NC_001402.1,NC_001402,Retroviridae,Retroviridae
NC_001451.1,NC_001451,Coronaviridae,Coronaviridae
NC_010800.1,NC_010800,Coronaviridae,Coronaviridae
NC_004828.1,NC_004828,Parvoviridae,Parvoviridae
NC_006263.1,NC_006263,Parvoviridae,Parvoviridae
NC_005947.1,NC_005947,Retroviridae,Retroviridae
NC_015396.1,NC_015396,Anelloviridae,Circoviridae
NC_001408.1,NC_001408,Retroviridae,Retroviridae
NC_015116.1,NC_015116,Retroviridae,Retroviridae
NC_030199.1,NC_030199,Circoviridae,Circoviridae
NC_001866.1,NC_001866,Retroviridae,Retroviridae
NC_015126.1,NC_015126,Spinareoviridae,Reoviridae
NC_015127.1,NC_015127,Spinareoviridae,Reoviridae
NC_015128.1,NC_015128,Spinareoviridae,Reoviridae
NC_015129.1,NC_015129,Spinareoviridae,Reoviridae
NC_015130.1,NC_015130,Spinareoviridae,Reoviridae
NC_015131.1,NC_015131,Spinareoviridae,Reoviridae
NC_015132.1,NC_015132,Spinareoviridae,Reoviridae
NC_015133.1,NC_015133,Spinareoviridae,Reoviridae
NC_015134.1,NC_015134,Spinareoviridae,Reoviridae
NC_015135.1,NC_015135,Spinareoviridae,Reoviridae
NC_034968.1,NC_034968,Paramyxoviridae,Paramyxoviridae
NC_006553.1,NC_006553,Picornaviridae,Picornaviridae
NC_008250.2,NC_008250,Picornaviridae,Picornaviridae
NC_024766.1,NC_024766,Picornaviridae,Picornaviridae
NC_024767.1,NC_024767,Picornaviridae,Picornaviridae
NC_028970.1,NC_028970,Picornaviridae,Picornaviridae
NC_026650.1,NC_026650,Circoviridae,Circoviridae
NC_026636.1,NC_026636,Circoviridae,Circoviridae
NC_026637.1,NC_026637,Circoviridae,Circoviridae
NC_026638.1,NC_026638,Circoviridae,Circoviridae
NC_026639.1,NC_026639,Circoviridae,Circoviridae
NC_026641.1,NC_026641,Circoviridae,Circoviridae
NC_026642.1,NC_026642,Circoviridae,Circoviridae
NC_026643.1,NC_026643,Circoviridae,Circoviridae
NC_026645.1,NC_026645,Circoviridae,Circoviridae
NC_026646.1,NC_026646,Circoviridae,Circoviridae
NC_026653.1,NC_026653,Circoviridae,Circoviridae
NC_026647.1,NC_026647,Circoviridae,Circoviridae
NC_026648.1,NC_026648,Circoviridae,Circoviridae
NC_026649.1,NC_026649,Circoviridae,Circoviridae
NC_026651.1,NC_026651,Circoviridae,Circoviridae
NC_026652.1,NC_026652,Circoviridae,Circoviridae
NC_026654.1,NC_026654,Circoviridae,Circoviridae
NC_026626.1,NC_026626,Circoviridae,Circoviridae
NC_026627.1,NC_026627,Circoviridae,Circoviridae
NC_026630.1,NC_026630,Circoviridae,Circoviridae
NC_026631.1,NC_026631,Circoviridae,Circoviridae
NC_026625.1,NC_026625,Circoviridae,Circoviridae
NC_026628.1,NC_026628,Circoviridae,Circoviridae
NC_026629.1,NC_026629,Circoviridae,Circoviridae
NC_026632.1,NC_026632,Circoviridae,Circoviridae
NC_026633.1,NC_026633,Circoviridae,Circoviridae
NC_026634.1,NC_026634,Circoviridae,Circoviridae
NC_026635.1,NC_026635,Circoviridae,Circoviridae
NC_023864.1,NC_023864,Geminiviridae,Geminiviridae
